,Density Trees,Fine,On fire,Burned
763,0.456,4455,100,5
764,0.4575,4474,97,4
765,0.4591,4494,95,2
766,0.4609,4511,96,2
767,0.4627,4530,97,0
768,0.4647,4550,96,1
769,0.4666,4570,94,2
770,0.4684,4588,94,2
771,0.4702,4608,93,1
772,0.4721,4627,92,2
773,0.4739,4642,94,3
774,0.4756,4662,91,3
775,0.4773,4680,92,1
776,0.4792,4696,94,2
777,0.481,4711,99,0
778,0.483,4728,101,1
779,0.4849,4746,101,2
780,0.4867,4762,103,2
781,0.4885,4776,107,2
782,0.4903,4788,113,2
783,0.4921,4804,116,1
784,0.494,4824,115,1
785,0.4959,4839,118,2
786,0.4977,4857,120,0
787,0.4997,4872,124,1
788,0.5016,4889,125,2
789,0.5034,4902,132,0
790,0.5054,4918,133,3
791,0.5071,4937,131,3
792,0.5088,4950,138,0
793,0.5108,4959,147,2
794,0.5126,4974,150,2
795,0.5144,4988,155,1
796,0.5163,5004,157,2
797,0.5181,5019,158,4
798,0.5197,5028,166,3
799,0.5214,5047,165,2
800,0.5232,5055,174,3
801,0.5249,5071,177,1
802,0.5268,5083,182,3
803,0.5285,5083,201,1
804,0.5304,5090,213,1
805,0.5323,5098,225,0
806,0.5343,5103,237,3
807,0.536,5116,241,3
808,0.5377,5130,247,0
809,0.5397,5145,251,1
810,0.5416,5150,260,6
811,0.543,5159,269,2
812,0.5448,5170,274,4
813,0.5464,5180,279,5
814,0.5479,5189,288,2
815,0.5497,5201,290,6
816,0.5511,5210,293,8
817,0.5523,5224,297,2
818,0.5541,5238,297,6
819,0.5555,5247,305,3
820,0.5572,5255,314,3
821,0.5589,5265,318,6
822,0.5603,5277,322,4
823,0.5619,5288,329,2
824,0.5637,5294,340,3
825,0.5654,5292,360,2
826,0.5672,5297,371,4
827,0.5688,5290,388,10
828,0.5698,5281,413,4
829,0.5714,5283,425,6
830,0.5728,5294,424,10
831,0.5738,5302,429,7
832,0.5751,5297,450,4
833,0.5767,5285,477,5
834,0.5782,5286,491,5
835,0.5797,5280,509,8
836,0.5809,5264,539,6
